job_id,title,employer,lang,english_flag,municipality,region,city,streetAddress,url,text_excerpt
30690727,Program Manager (Value Realization Lead) to Global Fashion Leader,MultiMind Holding AB,en,False,,,,,,"Program Manager (Value Realization Lead) to Global Fashion Leader We are currently looking for a Program Manager (Value Realization Lead) for an exciting consultancy opportunity within a large-scale business transformation program. This is a full-time assignment (100%) starting March 31st, 2026 and ..."
30690663,Foajéchef till Oscarsteatern/China Teatern,Cerrolargo AB,en,False,,,,,,"Vill du leda i en miljö där människor står i centrum? Där tempot är högt, energin smittande och varje arrangemang är en ny möjlighet att skapa något minnesvärt? Nu söker vi en Foajéchef som vill ta helhetsansvar för vår publika verksamhet och vara en nyckelspelare i vår ledningsgrupp. Som Foajéchef ..."
30690700,Servicemedarbetare – Reception & Servicecenter,Sodexo AB,en,False,,,,,,"Vill du vara en del av något större?  Om du vill jobba tillsammans med människor med olika bakgrunder, Om du har stora ambitioner, inte är rädd för utmaningar och vill växa samtidigt som du bidrar till vår utveckling och tillväxt. Då är du välkommen till Sodexo!Servicemedarbetare – Reception & Servi..."
30690541,Senior IAM Analyst,Avaron AB,en,False,,,,,,"About the Company Avaron AB is a growing consultancy that matches your expertise with the market's most interesting assignments, offering a platform where your professional development is central. About the Assignment We are looking for a senior professional to lead and drive integration initiatives..."
30690337,Sales Representative (German Speaking),Xensam AB,en,False,,,,,,"Xensam: Join the Future of SAM Xensam is the leader in AI-powered, cloud-based Software Asset Management. Our technology brings clarity to complex IT environments, helping users make smart, data-driven decisions and maximize software ROI. Recognized with the Highest Growth Award and ranked #3 Overal..."
30690315,Junior Sales Representative (Swedish speaking),Xensam AB,en,False,,,,,,"Xensam: Join the Future of SAM Xensam is the leader in AI-powered, cloud-based Software Asset Management. Our technology brings clarity to complex IT environments, helping users make smart, data-driven decisions and maximize software ROI. Recognized with the Highest Growth Award and ranked #3 Overal..."
30690208,IT Workplace Engineer to Brocc,Bravura Sverige AB,en,False,,,,,,"Are you passionate about automation, modern workplace technologies and creating seamless user experiences? Brocc is searching for an IT Workplace Engineer who wants to shape their future workplace, drive automation, and support a growing fintech organization on an exciting journey. About the job Thi..."
30690163,Recruitment Coordinator till Academic Work,Academic Work Sweden AB,en,False,,,,,,"Vill du vara motorn som får allt att snurra? Här blir du den centrala pusselbiten som samordnar teamet, skapar nya kontakter och ser till att vi når våra mål i en fartfylld miljö. Om tjänsten Som Recruitment Coordinator stöttar och samordnar du rekryteringsuppdrag genom hela rekryteringsprocessen i ..."
30690177,Lead & Customer Success - Solceller & Batterier,Missions AB,en,False,,,,,,"Nu söker vi en Lead & Customer Success Specialist till ett bolag inom batterilagring och energiteknik. Du arbetar med att följa upp leads som tidigare visat intresse för batterier men inte gått vidare. Kunderna har redan solceller - behovet finns, och din uppgift är att hitta rätt tajming och skapa ..."
30689991,Regional Manager hos Twilfit by CHANGE Lingerie - Stockholm,Retail Knowledge Sweden AB,en,False,,,,,,"Vi drivs av engagemang, gemenskap och viljan att vinna - tillsammans. Vi vet att en mångfald av erfarenheter, perspektiv och personligheter är avgörande för vår kultur och vår framgång. Nu söker vi en affärsdriven retailledare som kan ta fullt affärsansvar för vår butiksportfölj i Stockholmsregionen..."
30689752,"Weekend nanny, 1 & 3 year old children, Östermalm",Nanndis AB,en,False,,,,,,Ref. 4290Ö A busy English speaking family with two children of 1.5 years old and 4 years old are looking for a long term weekend nanny. The nanny can be Swedish or English Speaking but needs to have a very high level of English to be able to easily communicate with the parents without misunderstandi...
30689814,Business Analyst,Soros Consulting AB,en,False,,,,,,"Placering: Stockholm (Solna)   Vi söker nu en Business Analyst med energi, nyfikenhet och en stark grund inom kravhantering och IT. Rollen passar dig som trivs i gränslandet mellan verksamhet och teknik – och som har erfarenhet från exempelvis Supply Chain, logistik, affärssystem eller verksamhetsfö..."
30689461,Software Manager,Randstad AB,en,False,,,,,,"Job description Are you a senior leader in software engineering ready to manage high-integrity development for the rail industry?   Randstad is currently seeking a driven and experienced Software Manager for an exciting consulting assignment in Stockholm on behalf of our client, Alstom. Alstom is a ..."
